,Accession Number,EC,Species,Label,Enzyme,Reaction ID,Mechanism,Substrates,Products,Km,Kcat,Inhibitors,KI
521,WP_000886900.1,3.1.3.7,Escherichia coli,R522,"3'(2'),5'-bisphosphate nucleotidase",R00188,MRL,C00001; C00054,C00009; C00020,Km_C00009: 1.060231805; Km_C00020: 0.123677142; Km_C00001: 1.211840868; Km_C00054: 0.24,Kcat_F: 7.186644677; Kcat_R: 10.6696078525,C00020;C00224;C00053;C00001;C00054;C00009,C00054_KI: 0.081032827;C00009_KI: 1.060231805;C00001_KI: 1.211840868;C00224_KI: 0.062957361;C00053_KI: 0.06156636;C00020_KI: 0.123677142
523,WP_000786911.1,2.1.1.33,Escherichia coli,R524,Trna (guanine46-n7)-methyltransferase,R00600,MRL,C00019; C01977,C00021; C04160,Km_C00021: 0.029642764; Km_C04160: 0.11982138199999999; Km_C00019: 0.21; Km_C01977: 0.11982138199999999,Kcat_F: 0.199657028; Kcat_R: 0.200869074,C00019;C04160;C00021;C01977,C00019_KI: 0.02103053;C01977_KI: 0.025336646999999997;C00021_KI: 0.029642764;C04160_KI: 0.025336646999999997
524,WP_000011603.1,2.7.7.38,Escherichia coli,R525,3-deoxy-manno-octulosonate cytidylyltransferase,R03351,MRL,C00063; C01187,C00013; C04121,Km_C00013: 0.136276931; Km_C04121: 0.067634009; Km_C00063: 0.7086666666666667; Km_C01187: 0.6975,Kcat_F: 35.839443395; Kcat_R: 20.6788216735,C01187;C04121;C00013;C00063,C00013_KI: 0.136276931;C04121_KI: 0.067634009;C00063_KI: 0.052396487;C01187_KI: 0.124882057
525,WP_001096048.1,6.3.2.8,Escherichia coli,R526,Udp-n-acetylmuramate-l-alanine ligase,R03193,MRL,C00002; C00041; C01050,C00008; C00009; C01212,Km_C00008: 0.028168883; Km_C00009: 0.136452615; Km_C01212: 0.107987441; Km_C00002: 0.029936453; Km_C00041: 0.096495427; Km_C01050: 0.01,Kcat_F: 5.85221692; Kcat_R: 4.268451840666667,C00008;C00041;C01050;C00002;C01212;C00009,C00041_KI: 0.096495427;C00002_KI: 0.029936453;C00009_KI: 0.136452615;C01212_KI: 0.107987441;C01050_KI: 0.176569477;C00008_KI: 0.028168883
526,WP_001044366.1,3.1.3.10,Escherichia coli,R527,Glucose-1-phosphatase,R00304,MRL,C00001; C00103,C00009; C00031,Km_C00009: 0.974477589; Km_C00031: 1.199357629; Km_C00001: 0.972812712; Km_C00103: 0.445,Kcat_F: 61.0880376345; Kcat_R: 4.353411557,C00001;C00031;C00267;C00103;C00009,C00103_KI: 0.362336993;C00001_KI: 0.972812712;C00031_KI: 1.199357629;C00009_KI: 0.974477589;C00267_KI: 1.199357629
528,WP_000152933.1,3.1.1.29,Escherichia coli,R529,Aminoacyl-trna hydrolase,R04238,MRL,C00001; C03880,C00066; C03523,Km_C00066: 0.326487064; Km_C03523: 0.326487064; Km_C00001: 0.326487064; Km_C03880: 0.326487064,Kcat_F: 1.318687254; Kcat_R: 36.94316617111479,C00001;C00066;C03523;C03880,C00001_KI: 0.326487064;C03523_KI: 0.326487064;C00066_KI: 0.326487064;C03880_KI: 0.326487064
529,WP_001297933.1,4.2.3.5,Escherichia coli,R530,Chorismate synthase,R01714,MRL,C01269,C00009; C00251,Km_C00009: 0.245119825; Km_C00251: 0.008625814; Km_C01269: 0.00175,Kcat_F: 2.763376874; Kcat_R: 0.1566558805,C00251;C01269;C00009,C01269_KI: 0.013534298;C00251_KI: 0.008625814;C00009_KI: 0.245119825
530,WP_000108921.1,2.6.1.9,Escherichia coli,R531,Histidinol-phosphate transaminase,R03243,MRL,C00026; C01100,C00025; C01267,Km_C00025: 1.053722501; Km_C01267: 0.106564127; Km_C00026: 0.318048954; Km_C01100: 0.326990217,Kcat_F: 3.382453021; Kcat_R: 2.3861176325,C00082;C00025;C01179;C01267;C00166;C00079;C00026;C01100,C00026_KI: 0.318048954;C00079_KI: 0.653463006;C00025_KI: 1.053722501;C00082_KI: 0.336378396;C00166_KI: 0.239793524;C01100_KI: 0.326990217;C01267_KI: 0.106564127;C01179_KI: 0.119904272
531,WP_000126543.1,3.5.2.3,Escherichia coli,R532,Dihydroorotase,R01993,MRL,C00001; C00337,C00438,Km_C00438: 1.07; Km_C00001: 1.220741868; Km_C00337: 0.076,Kcat_F: 68.349444958; Kcat_R: 195.0,C00001;C00337;C00438,C00001_KI: 1.220741868;C00438_KI: 0.183899671;C00337_KI: 0.162422061
532,WP_000096674.1,2.7.1.35,Escherichia coli,R533,Pyridoxal kinase,R00174,MRL,C00002; C00250,C00008; C00018,Km_C00008: 0.075976267; Km_C00018: 0.054047048; Km_C00002: 0.053650964; Km_C00250: 0.14500000000000002,Kcat_F: 2.0994261795; Kcat_R: 3.507605045,C00314;C00008;C00647;C00018;C00250;C00534;C00002;C00627,C00647_KI: 0.056110427;C00002_KI: 0.053650964;C00534_KI: 0.028873539;C00250_KI: 0.035194047;C00008_KI: 0.075976267;C00627_KI: 0.060594924;C00314_KI: 0.02990004;C00018_KI: 0.054047048
535,WP_000030016.1,3.1.3.45,Escherichia coli,R536,3-deoxy-manno-octulosonate-8-phosphatase,R03350,MRL,C00001; C04478,C00009; C01187,Km_C00009: 0.799951911; Km_C01187: 0.161412567; Km_C00001: 0.972397149; Km_C04478: 0.256,Kcat_F: 5.008958739500001; Kcat_R: 3.503480618,C01187;C00001;C00009;C04478,C00009_KI: 0.799951911;C00001_KI: 0.972397149;C01187_KI: 0.161412567;C04478_KI: 0.150190055
536,WP_000424181.1,4.2.3.3,Escherichia coli,R537,Methylglyoxal synthase,R01016,MRL,C00111,C00009; C00546,Km_C00009: 1.086036325; Km_C00546: 1.780871987; Km_C00111: 2.492,Kcat_F: 140.70000000000002; Kcat_R: 0.817589166,C00009;C00111;C00546,C00546_KI: 1.780871987;C00111_KI: 0.278445303;C00009_KI: 1.086036325
538,WP_000153129.1,3.1.3.5,Escherichia coli,R539,5'-nucleotidase,R00183,MRL,C00001; C00020,C00009; C00212,Km_C00009: 0.937707484; Km_C00212: 0.068258673; Km_C00001: 1.266582727; Km_C00020: 0.083292589,Kcat_F: 21.6598827785; Kcat_R: 42.214994805,C01762;C00130;C03150;C00294;C00655;C00001;C00365;C00362;C00455;C00214;C00330;C05841;C00009;C00239;C00360;C00364;C00881;C00020;C00526;C01185;C00055;C00559;C00387;C00299;C00911;C00475;C00144;C00212;C00105;C02520,C00559_KI: 0.050993241;C00364_KI: 0.132593408;C05841_KI: 0.188711062;C00655_KI: 0.078430176;C00362_KI: 0.050302956;C00001_KI: 1.266582727;C00055_KI: 0.111544207;C00130_KI: 0.100173503;C03150_KI: 0.150235236;C01762_KI: 0.09636078;C00299_KI: 0.225501671;C00212_KI: 0.068258673;C00294_KI: 0.142682001;C00009_KI: 0.937707484;C00881_KI: 0.093070105;C00214_KI: 0.156796917;C00105_KI: 0.206954956;C00360_KI: 0.056047916;C00239_KI: 0.068221092;C00020_KI: 0.083292589;C00330_KI: 0.064927325;C00455_KI: 0.144596487;C00387_KI: 0.070346631;C00911_KI: 0.18760195196428572;C00526_KI: 0.206468806;C00475_KI: 0.161458343;C01185_KI: 0.100651376;C02520_KI: 0.18760195196428572;C00365_KI: 0.150486752;C00144_KI: 0.089458235
551,WP_000108330.1,2.7.1.12,Escherichia coli,R552,Gluconokinase,R01737,MRL,C00002; C00257,C00008; C00345,Km_C00008: 0.038519412; Km_C00345: 0.051884621; Km_C00002: 0.024752656; Km_C00257: 0.09133333333333334,Kcat_F: 0.9104030599999999; Kcat_R: 1.3169219065000002,C00002;C00257;C00345;C00008,C00345_KI: 0.051884621;C00002_KI: 0.024752656;C00008_KI: 0.038519412;C00257_KI: 0.187486991
552,WP_000445249.1,2.5.1.19,Escherichia coli,R553,3-phosphoshikimate 1-carboxyvinyltransferase,R03460,MRL,C00074; C03175,C00009; C01269,Km_C00009: 0.856163681; Km_C01269: 0.011; Km_C00074: 103333342.9467; Km_C03175: 182000019.23828,Kcat_F: 14.0; Kcat_R: 0.0403616535,C01269;C00009;C00074;C03175,C00009_KI: 0.856163681;C01269_KI: 0.085801534;C03175_KI: 0.051672556;C00074_KI: 0.04457774
553,WP_000675504.1,1.16.3.1,Escherichia coli,R554,Ferroxidase,R00078,MRL,C00007; C00080; C14818,C00001; C14819,Km_C00001: 1.056412816; Km_C14819: 0.59518081; Km_C00007: 0.112757094; Km_C00080: 1.09155333; Km_C14818: 0.12,Kcat_F: 2.1713729525; Kcat_R: 1.7362631,C00001;C00007;C14819;C14818;C00080,C14819_KI: 0.7535744133333333;C14818_KI: 0.7535744133333333;C00007_KI: 0.112757094;C00001_KI: 1.056412816;C00080_KI: 1.09155333
554,WP_000039863.1,1.8.4.8,Escherichia coli,R555,Phosphoadenylyl-sulfate reductase (thioredoxin),R02021,MRL,C00053; C00342,C00054; C00094; C00343,Km_C00054: 0.036872573; Km_C00094: 0.806610167; Km_C00343: 0.219895685; Km_C00053: 0.01; Km_C00342: 0.0261,Kcat_F: 9.923348473; Kcat_R: 8.071978312999999,C00343;C00342;C00094;C00053;C00054,C00342_KI: 0.2907579453333333;C00343_KI: 0.2907579453333333;C00094_KI: 0.806610167;C00054_KI: 0.036872573;C00053_KI: 0.028791096
556,WP_000805449.1,2.1.2.11,Escherichia coli,R557,3-methyl-2-oxobutanoate hydroxymethyltransferase,R01216,MRL,C00966,C00067; C00141,Km_C00067: 5.183048725; Km_C00141: 0.1; Km_C00966: 0.17,Kcat_F: 0.723871125; Kcat_R: 0.9580998199999999,C00966;C00101;C00001;C00067;C00143;C00141,C00067_KI: 5.183048725;C00001_KI: 7.029721737;C00143_KI: 0.129827544;C00101_KI: 0.11870598;C00966_KI: 0.45431608;C00141_KI: 0.560629904
557,WP_001285288.1,2.7.2.11,Escherichia coli,R558,Glutamate 5-kinase,R00239,MRL,C00002; C00025,C00008; C03287,Km_C00008: 0.080338582; Km_C03287: 0.306656271; Km_C00002: 0.086436898; Km_C00025: 2.529366255,Kcat_F: 1.9934153184999999; Kcat_R: 2.8162667895,C00002;C03287;C00025;C00008,C00008_KI: 0.080338582;C00002_KI: 0.086436898;C03287_KI: 0.306656271;C00025_KI: 2.529366255
558,WP_001135174.1,2.4.2.19,Escherichia coli,R559,Nicotinate-nucleotide diphosphorylase (carboxylating),R03348,MRL,C00011; C00013; C01185,C00119; C03722,Km_C00119: 0.0156; Km_C03722: 0.0064; Km_C00011: 0.725310981; Km_C00013: 0.091704249; Km_C01185: 0.047272515,Kcat_F: 15.260119944000001; Kcat_R: 1.3470402424999999,C03722;C00013;C00119;C01185;C00011,C00013_KI: 0.091704249;C00119_KI: 0.064015992;C03722_KI: 0.025259802;C01185_KI: 0.047272515;C00011_KI: 0.725310981
559,WP_001272330.1,2.1.1.172,Escherichia coli,R560,16s rrna (guanine1207-n2)-methyltransferase,R07234,MRL,C00019; C00240,C00021; C04153,Km_C00021: 0.014472159; Km_C04153: 0.0133897665; Km_C00019: 0.012307374; Km_C00240: 0.0133897665,Kcat_F: 0.300884566; Kcat_R: 0.297324135,C00019;C04153;C00240;C00021,C00021_KI: 0.014472159;C00019_KI: 0.012307374;C00240_KI: 0.0133897665;C04153_KI: 0.0133897665
560,WP_000227950.1,2.1.1.163,Escherichia coli,R561,Demethylmenaquinone methyltransferase,R04990,MRL,C00019; C05813,C00021; C05814,Km_C00021: 0.055793375; Km_C05814: 0.016471028; Km_C00019: 0.035508431; Km_C05813: 0.016764313,Kcat_F: 4.0371545465; Kcat_R: 3.4614242720000004,C05813;C00019;C00828;C05814;C05818;C00021,C05813_KI: 0.016764313;C05814_KI: 0.016471028;C00828_KI: 0.012853405;C05818_KI: 0.013168275;C00019_KI: 0.035508431;C00021_KI: 0.055793375
562,WP_001047336.1,2.5.1.90,Escherichia coli,R563,All-trans-octaprenyl-diphosphate synthase,R09248,MRL,C00129; C00448,C00013; C04146,Km_C00013: 0.113530345; Km_C04146: 0.027466953; Km_C00129: 0.004; Km_C00448: 0.0015,Kcat_F: 1.0019278455; Kcat_R: 0.0021699659999999997,C00448;C00129;C00013;C04146,C04146_KI: 0.027466953;C00448_KI: 0.014081104;C00013_KI: 0.113530345;C00129_KI: 0.061164275
563,WP_000951213.1,2.8.1.6,Escherichia coli,R564,Biotin synthase,R01078,MRL,C00019; C00080; C01909; C05359; C17023,C00073; C00120; C05198,Km_C00073: 0.205462977; Km_C00120: 0.00815743; Km_C05198: 0.008250954; Km_C00019: 0.2; Km_C00080: 0.282939047; Km_C01909: 0.0035; Km_C05359: 0.11805173466666664; Km_C17023: 0.11805173466666664,Kcat_F: 3.5398325875000003; Kcat_R: 0.17471006499999997,C00019;C05359;C17023;C01909;C05198;C00120;C00073;C00080,C01909_KI: 0.003927429;C00019_KI: 0.010638196;C00080_KI: 0.282939047;C05198_KI: 0.008250954;C00073_KI: 0.205462977;C05359_KI: 0.08656267216666667;C17023_KI: 0.08656267216666667;C00120_KI: 0.00815743
564,WP_001023616.1,1.1.1.133,Escherichia coli,R565,Dtdp-4-dehydrorhamnose reductase,R02777,MRL,C00006; C03319,C00005; C00080; C00688,Km_C00005: 0.018093525; Km_C00080: 0.913403451; Km_C00688: 0.027959231; Km_C00006: 0.057910878; Km_C03319: 0.09394335,Kcat_F: 4.079477564; Kcat_R: 5.871815789,C03319;C00006;C00688;C00005;C00080,C00006_KI: 0.057910878;C00005_KI: 0.018093525;C00688_KI: 0.027959231;C00080_KI: 0.913403451;C03319_KI: 0.09394335
565,WP_000589409.1,3.1.4.16,Escherichia coli,R566,"2',3'-cyclic-nucleotide 2'-phosphodiesterase",R03423,MRL,C00001; C01240,C03419,Km_C03419: 0.302585751; Km_C00001: 0.302585751; Km_C01240: 0.302585751,Kcat_F: 2.295437217; Kcat_R: 36.94316617111479,C06194;C01367;C02355;C06193;C01368;C00001;C01240;C03419;C05822;C02353;C02354,C01240_KI: 0.07398992644444445;C03419_KI: 0.07398992644444445;C05822_KI: 0.066258483;C01368_KI: 0.04976714;C02355_KI: 0.04979134;C06193_KI: 0.028111948;C01367_KI: 0.031050734;C00001_KI: 0.302585751;C06194_KI: 0.032085013;C02353_KI: 0.028383136;C02354_KI: 0.077875793
570,WP_000110749.1,1.1.1.3,Escherichia coli,R571,Homoserine dehydrogenase,R01773,MRL,C00003; C00263,C00004; C00080; C00441,Km_C00004: 0.048666485; Km_C00080: 2.251846552; Km_C00441: 0.17; Km_C00003: 0.20376724; Km_C00263: 1.2,Kcat_F: 1.4805696075; Kcat_R: 3.6678800505,C00006;C00003;C00004;C00441;C00005;C00263;C00080,C00004_KI: 0.048666485;C00441_KI: 0.409314513;C00005_KI: 0.034738597;C00263_KI: 0.193017676;C00080_KI: 2.251846552;C00003_KI: 0.20376724;C00006_KI: 0.09298566
572,WP_001295474.1,6.3.3.1,Escherichia coli,R573,Phosphoribosylformylglycinamidine cyclo-ligase,R04208,MRL,C00002; C04640,C00008; C00009; C03373,Km_C00008: 0.034966107; Km_C00009: 0.771988094; Km_C03373: 0.045081317; Km_C00002: 0.035809204; Km_C04640: 0.027,Kcat_F: 5.805137565500001; Kcat_R: 4.459094240333333,C00008;C00002;C00009;C04640;C03373,C00002_KI: 0.035809204;C00009_KI: 0.771988094;C00008_KI: 0.034966107;C04640_KI: 0.071407415;C03373_KI: 0.045081317
573,WP_001060244.1,3.2.2.4,Escherichia coli,R574,Amp nucleosidase,R00182,MRL,C00001; C00020,C00117; C00147,Km_C00117: 1.114528775; Km_C00147: 0.130902275; Km_C00001: 1.641201854; Km_C00020: 0.260070086,Kcat_F: 1.314945196; Kcat_R: 2.688678166,C00020;C00001;C00117;C00147,C00147_KI: 0.130902275;C00001_KI: 1.641201854;C00117_KI: 1.114528775;C00020_KI: 0.260070086
574,,1.1.1.42,Escherichia coli,R575,Isocitrate dehydrogenase (nadp+),R00267,MRL,C00006; C00311,C00005; C00011; C00026; C00080,Km_C00005: 0.000715; Km_C00011: 0.505214036; Km_C00026: 2.75; Km_C00080: 2.13827467; Km_C00006: 0.01485; Km_C00311: 0.074271195,Kcat_F: 45.913566013; Kcat_R: 7.140433394333333,C00006;C00311;C00026;C00011;C00005;C05379;C00080,C00005_KI: 0.032034442;C00311_KI: 0.074271195;C00006_KI: 0.04062869;C05379_KI: 0.069090471;C00011_KI: 0.505214036;C00026_KI: 0.182909817;C00080_KI: 2.13827467
577,,2.3.3.1,Escherichia coli,R578,Citrate synthase,R00351,MRL,C00158; C00010,C00024; C00001; C00036,Km_C00158: 0.206155464; Km_C00010: 0.065331496; Km_C00024: 0.052596927; Km_C00001: 0.965167284; Km_C00036: 0.069584779,Kcat_F: 33.803514055; Kcat_R: 47.3506715233333,,
578,,2.3.3.8,Escherichia coli,R579,Atp citrate synthase,R00352,MRL,C00002; C00010; C00158,C00008; C00009; C00024; C00036,Km_C00008: 11.421359055528603; Km_C00009: 11.421359055528603; Km_C00024: 11.421359055528603; Km_C00036: 11.421359055528603; Km_C00002: 11.421359055528603; Km_C00010: 11.421359055528603; Km_C00158: 11.421359055528603,Kcat_F: 19.78221183941891; Kcat_R: 19.78221183941891,,
